time_stamp,value_int
2016-10-18 10:47:08,24
2016-10-18 10:47:18,24
2016-10-18 10:47:29,25
2016-10-18 10:47:38,24
2016-10-18 10:47:48,24
2016-10-18 10:47:59,24
2016-10-18 10:48:08,24
2016-10-18 10:48:19,24
2016-10-18 10:48:29,25
2016-10-18 10:48:39,25
2016-10-18 10:48:49,25
2016-10-18 10:48:59,25
2016-10-18 10:49:09,25
2016-10-18 10:49:19,25
2016-10-18 10:49:29,24
2016-10-18 10:49:39,24
2016-10-18 10:49:49,24
2016-10-18 10:49:59,25
2016-10-18 10:50:09,25
2016-10-18 10:50:19,25
2016-10-18 10:50:29,24
2016-10-18 10:50:39,25
2016-10-18 10:50:49,24
2016-10-18 10:50:59,24
2016-10-18 10:51:09,24
2016-10-18 10:51:19,25
2016-10-18 10:51:29,25
2016-10-18 10:51:39,25
2016-10-18 10:51:49,24
2016-10-18 10:51:59,24
2016-10-18 10:52:09,24
2016-10-18 10:52:19,24
2016-10-18 10:52:29,25
2016-10-18 10:52:39,25
2016-10-18 10:52:49,24
2016-10-18 10:52:59,24
2016-10-18 10:53:09,24
2016-10-18 10:53:19,24
2016-10-18 10:53:29,25
2016-10-18 10:53:39,24
2016-10-18 10:53:49,24
2016-10-18 10:53:59,25
2016-10-18 10:54:09,25
2016-10-18 10:54:19,24
2016-10-18 10:54:29,25
2016-10-18 10:54:39,25
2016-10-18 10:54:49,24
2016-10-18 10:54:59,25
2016-10-18 10:55:09,24
2016-10-18 10:55:19,25
2016-10-18 10:55:29,25
2016-10-18 10:55:39,25
2016-10-18 10:55:49,24
2016-10-18 10:55:59,24
2016-10-18 10:56:09,25
2016-10-18 10:56:19,24
2016-10-18 10:56:29,25
2016-10-18 10:56:39,25
2016-10-18 10:56:49,24
2016-10-18 10:56:59,25
2016-10-18 10:57:09,25
2016-10-18 10:57:19,24
2016-10-18 10:57:29,25
2016-10-18 10:57:39,25
2016-10-18 10:57:49,24
2016-10-18 10:57:59,24
2016-10-18 10:58:09,24
2016-10-18 10:58:19,25
2016-10-18 10:58:29,24
2016-10-18 10:58:39,25
2016-10-18 10:58:49,24
2016-10-18 10:58:59,25
2016-10-18 10:59:09,25
2016-10-18 10:59:19,25
2016-10-18 10:59:29,24
2016-10-18 10:59:39,25
2016-10-18 10:59:49,25
2016-10-18 10:59:59,24
2016-10-18 11:00:09,24
2016-10-18 11:00:19,24
2016-10-18 11:00:29,25
2016-10-18 11:00:39,24
2016-10-18 11:00:49,24
2016-10-18 11:00:59,25
2016-10-18 11:01:09,24
2016-10-18 11:01:20,25
2016-10-18 11:01:29,24
2016-10-18 11:01:39,25
2016-10-18 11:01:50,24
2016-10-18 11:01:59,25
2016-10-18 11:02:09,25
2016-10-18 11:02:20,24
2016-10-18 11:02:29,25
2016-10-18 11:02:39,24
2016-10-18 11:02:50,25
2016-10-18 11:02:59,24
2016-10-18 11:03:10,25
2016-10-18 11:03:19,25
2016-10-18 11:03:29,25
2016-10-18 11:03:39,25
2016-10-18 11:03:49,25
2016-10-18 11:03:59,25
2016-10-18 11:04:09,24
2016-10-18 11:04:20,24
2016-10-18 11:04:30,25
2016-10-18 11:04:40,24
2016-10-18 11:04:50,25
2016-10-18 11:05:00,25
2016-10-18 11:05:10,24
2016-10-18 11:05:20,25
2016-10-18 11:05:30,25
2016-10-18 11:05:40,25
2016-10-18 11:05:50,25
2016-10-18 11:06:00,25
2016-10-18 11:06:10,24
2016-10-18 11:06:20,24
2016-10-18 11:06:30,24
2016-10-18 11:06:40,25
2016-10-18 11:06:50,25
2016-10-18 11:07:00,24
2016-10-18 11:07:10,24
2016-10-18 11:07:20,24
2016-10-18 11:07:30,24
2016-10-18 11:07:40,25
2016-10-18 11:07:50,25
